,number_occurences
2018-06-01,939
2018-06-02,885
2018-06-03,914
2018-06-04,901
2018-06-05,962
2018-06-06,933
2018-06-07,910
2018-06-08,993
2018-06-09,903
2018-06-10,817
2018-06-11,1025
2018-06-12,900
2018-06-13,961
2018-06-14,945
2018-06-15,912
2018-06-16,903
2018-06-17,978
2018-06-18,1191
2018-06-19,948
2018-06-20,967
2018-06-21,982
2018-06-22,1052
2018-06-23,1020
2018-06-24,851
2018-06-25,957
2018-06-26,954
2018-06-27,932
2018-06-28,954
2018-06-29,885
2018-06-30,895
2018-07-01,964
2018-07-02,915
2018-07-03,1009
2018-07-04,871
2018-07-05,965
2018-07-06,1025
2018-07-07,920
2018-07-08,854
2018-07-09,930
2018-07-10,920
2018-07-11,979
2018-07-12,959
2018-07-13,967
2018-07-14,924
2018-07-15,864
2018-07-16,971
2018-07-17,936
2018-07-18,949
2018-07-19,866
2018-07-20,858
2018-07-21,888
2018-07-22,830
2018-07-23,940
2018-07-24,900
2018-07-25,907
2018-07-26,884
2018-07-27,854
2018-07-28,828
2018-07-29,817
2018-07-30,922
2018-07-31,930
2018-08-01,926
2018-08-02,1053
2018-08-03,1005
2018-08-04,1304
2018-08-05,1430
2018-08-06,1389
2018-08-07,1026
2018-08-08,1043
2018-08-09,1007
2018-08-10,1004
2018-08-11,932
2018-08-12,832
2018-08-13,898
2018-08-14,875
2018-08-15,798
2018-08-16,874
2018-08-17,874
2018-08-18,858
2018-08-19,903
2018-08-20,1016
2018-08-21,909
2018-08-22,895
2018-08-23,894
2018-08-24,910
2018-08-25,843
2018-08-26,851
2018-08-27,950
2018-08-28,800
2018-08-29,861
2018-08-30,896
2018-08-31,929
